ReadID	maxG1	maxG2	genome	chr_G1	pos_G1	chrG2	posG2	group
SRR6485325.141416	0	0	undetermined	H1_chr5	34882149	H2_chr5	16333968	PEES
SRR6485325.64890	0	0	undetermined	H1_chr5	34882599	H2_chr5	16333518	PEES
SRR6485325.6678	-1	-1	undetermined	H1_chr5	34884642	H2_chr5	37082844	PEES
SRR6485325.88024	-4	-4	undetermined	H1_chr5	34885028	H2_chr5	31750509	PEES
SRR6485325.31483	-5	-5	undetermined	H1_chr5	34924665	H2_chr5	34811992	PEES
SRR6485325.159337	0	0	undetermined	H1_chr5	34940549	H2_chr5	34827879	PEES
SRR6485325.116311	-14	-14	undetermined	H1_chr5	34983666	H2_chr5	34870990	PEES
SRR6485325.101976	-15	-15	undetermined	H1_chr5	34985984	H2_chr5	34873308	PEES
SRR6485325.236968	0	0	undetermined	H1_chr5	34998968	H2_chr5	34886292	PEES
SRR6485325.142180	0	0	undetermined	H1_chr5	35011660	H2_chr5	34898984	PEES
SRR6485325.214107	0	0	undetermined	H1_chr5	35015529	H2_chr5	34902861	PEES
SRR6485325.183953	0	0	undetermined	H1_chr5	35029326	H2_chr5	34916664	PEES
SRR6485325.247485	0	0	undetermined	H1_chr5	35050201	H2_chr5	34937539	PEES
SRR6485325.2400	-9	-9	undetermined	H1_chr5	35092420	H2_chr5	34980081	PEES
SRR6485325.30521	-15	-15	undetermined	H1_chr5	35092824	H2_chr5	34980485	PEES
SRR6485325.243163	0	none	H1_	H1_chr5	35093480	none	0	UGM
SRR6485325.96431	0	0	undetermined	H1_chr5	35093601	H2_chr5	5422815	PEES
SRR6485325.44744	-5	-5	undetermined	H1_chr5	35196402	H2_chr5	35092413	PEES
SRR6485325.126034	-5	-5	undetermined	H1_chr5	35229540	H2_chr5	35125586	PEES
SRR6485325.189405	0	none	H1_	H1_chr5	35272855	none	0	UGM
SRR6485325.72201	-18	-18	undetermined	H1_chr5	35302416	H2_chr5	35198509	PEES
SRR6485325.142626	-3	-3	undetermined	H1_chr5	35302643	H2_chr5	35198736	PEES
SRR6485325.1484	0	0	undetermined	H1_chr5	35368656	H2_chr5	35266028	PEES
SRR6485325.69414	0	0	undetermined	H1_chr5	35370894	H2_chr5	35268276	PEES
SRR6485325.135625	0	0	undetermined	H1_chr5	35371900	H2_chr5	35269282	PEES
SRR6485325.192195	0	0	undetermined	H1_chr5	35431034	H2_chr5	35328382	PEES
SRR6485325.93935	0	0	undetermined	H1_chr5	35445412	H2_chr5	35342776	PEES
SRR6485325.163228	0	0	undetermined	H1_chr5	35460874	H2_chr5	35358984	PEES
SRR6485325.54194	0	0	undetermined	H1_chr5	35472043	H2_chr5	35370129	PEES
SRR6485325.132195	0	0	undetermined	H1_chr5	35498886	H2_chr5	35396942	PEES
SRR6485325.197615	0	0	undetermined	H1_chr5	35574442	H2_chr5	35472797	PEES
SRR6485325.243503	-5	none	H1_	H1_chr5	35584054	none	0	UGM
SRR6485325.97314	0	0	undetermined	H1_chr5	35604293	H2_chr5	35508101	PEES
SRR6485325.95427	0	none	H1_	H1_chr5	35614180	none	0	UGM
SRR6485325.250070	-12	-12	undetermined	H1_chr5	35633790	H2_chr5	35537591	PEES
SRR6485325.100261	-5	-5	undetermined	H1_chr5	35651690	H2_chr5	35553557	PEES
SRR6485325.114173	0	0	undetermined	H1_chr5	35660185	H2_chr5	35562065	PEES
SRR6485325.148123	0	0	undetermined	H1_chr5	35670093	H2_chr5	5721153	PEES
SRR6485325.203301	0	0	undetermined	H1_chr5	35670959	H2_chr5	35572846	PEES
SRR6485325.67552	-6	-6	undetermined	H1_chr5	35673332	H2_chr5	31161202	ES
SRR6485325.161677	0	none	H1_	H1_chr5	35687161	none	0	UGM
SRR6485325.227663	-3	-3	undetermined	H1_chr5	35725931	H2_chr5	35628742	PEES
SRR6485325.71721	-10	none	H1_	H1_chr5	35736198	none	0	UGM
SRR6485325.5335	0	0	undetermined	H1_chr5	35745058	H2_chr5	35647874	PEES
SRR6485325.38221	-5	-5	undetermined	H1_chr5	35752950	H2_chr5	35656138	PEES
SRR6485325.18942	-3	none	H1_	H1_chr5	35767875	none	0	UGM
SRR6485325.246120	0	none	H1_	H1_chr5	35796653	none	0	UGM
SRR6485325.90886	0	0	undetermined	H1_chr5	35833037	H2_chr5	35736266	PEES
SRR6485325.83891	0	0	undetermined	H1_chr5	35833178	H2_chr5	35736407	PEES
SRR6485325.65790	0	0	undetermined	H1_chr5	35855296	H2_chr5	35758546	PEES
SRR6485325.21151	-3	none	H1_	H1_chr5	35862860	none	0	UGM
SRR6485325.18690	0	0	undetermined	H1_chr5	35902153	H2_chr5	35805916	PEES
SRR6485325.158856	0	0	undetermined	H1_chr5	35903564	H2_chr5	35807326	PEES
SRR6485325.18637	0	none	H1_	H1_chr5	35904137	none	0	UGM
SRR6485325.199500	0	0	undetermined	H1_chr5	35926091	H2_chr5	35828154	PEES
SRR6485325.217392	0	0	undetermined	H1_chr5	35963691	H2_chr5	35865757	PEES
SRR6485325.233725	0	0	undetermined	H1_chr5	36023030	H2_chr5	35925007	PEES
SRR6485325.9101	0	0	undetermined	H1_chr5	36024365	H2_chr5	6435599	PEES
SRR6485325.77536	-3	-3	undetermined	H1_chr5	36024366	H2_chr5	6435600	PEES
SRR6485325.174022	0	0	undetermined	H1_chr5	36035137	H2_chr5	35937108	PEES
SRR6485325.193754	0	none	H1_	H1_chr5	36043878	none	0	UGM
SRR6485325.28990	0	none	H1_	H1_chr5	36048426	none	0	UGM
SRR6485325.104402	0	0	undetermined	H1_chr5	36056548	H2_chr5	35958508	PEES
SRR6485325.95498	0	none	H1_	H1_chr5	36070786	none	0	UGM
SRR6485325.98337	0	0	undetermined	H1_chr5	36083674	H2_chr5	15270212	PEES
SRR6485325.132954	0	none	H1_	H1_chr5	36086700	none	0	UGM
SRR6485325.235894	-1	-1	undetermined	H1_chr5	36111339	H2_chr5	36004908	PEES
SRR6485325.238482	0	none	H1_	H1_chr5	36129895	none	0	UGM
SRR6485325.41586	0	0	undetermined	H1_chr5	36164937	H2_chr5	36062377	PEES
SRR6485325.199394	0	0	undetermined	H1_chr5	36177931	H2_chr5	68902809	PEES
SRR6485325.20664	-3	-3	undetermined	H1_chr5	36330851	H2_chr5	36234823	PEES
SRR6485325.242215	0	none	H1_	H1_chr5	36340011	none	0	UGM
SRR6485325.235211	-3	-3	undetermined	H1_chr5	36373468	H2_chr5	36284596	PEES
SRR6485325.127372	-1	-1	undetermined	H1_chr5	36393771	H2_chr5	36304990	PEES
SRR6485325.104405	0	0	undetermined	H1_chr5	36398092	H2_chr5	32036043	PEES
SRR6485325.90266	0	0	undetermined	H1_chr5	36403161	H2_chr5	54508751	PEES
SRR6485325.19156	0	none	H1_	H1_chr5	36405507	none	0	UGM
SRR6485325.247956	0	0	undetermined	H1_chr5	36407965	H2_chr5	36310769	PEES
SRR6485325.82598	-5	none	H1_	H1_chr5	36411138	none	0	UGM
SRR6485325.234997	0	0	undetermined	H1_chr5	36411356	H2_chr5	36314158	PEES
SRR6485325.238001	0	0	undetermined	H1_chr5	36414944	H2_chr5	36317745	PEES
SRR6485325.222771	0	none	H1_	H1_chr5	36433655	none	0	UGM
SRR6485325.192626	-8	-8	undetermined	H1_chr5	36470480	H2_chr5	36373210	PEES
SRR6485325.93821	0	none	H1_	H1_chr5	36473553	none	0	UGM
SRR6485325.69679	0	0	undetermined	H1_chr5	36473745	H2_chr5	36376465	PEES
SRR6485325.183391	0	0	undetermined	H1_chr5	36537748	H2_chr5	32039291	PEES
SRR6485325.114682	-5	-5	undetermined	H1_chr5	36537944	H2_chr5	34227179	PEES
SRR6485325.2494	0	0	undetermined	H1_chr5	36541659	H2_chr5	36444397	PEES
SRR6485325.90879	0	0	undetermined	H1_chr5	36584252	H2_chr5	36486986	PEES
SRR6485325.143365	-17	-17	undetermined	H1_chr5	36672205	H2_chr5	36574934	PEES
SRR6485325.122016	-5	-5	undetermined	H1_chr5	36688476	H2_chr5	36591205	PEES
SRR6485325.207451	0	0	undetermined	H1_chr5	36712986	H2_chr5	36615715	PEES
SRR6485325.216678	0	0	undetermined	H1_chr5	36715205	H2_chr5	36617934	PEES
SRR6485325.230167	0	0	undetermined	H1_chr5	36724348	H2_chr5	36627077	PEES
SRR6485325.241953	0	0	undetermined	H1_chr5	36733267	H2_chr5	36635996	PEES
SRR6485325.125528	0	0	undetermined	H1_chr5	36766137	H2_chr5	36668833	PEES
SRR6485325.119374	0	0	undetermined	H1_chr5	36770401	H2_chr5	36673097	PEES
SRR6485325.221864	0	0	undetermined	H1_chr5	36779395	H2_chr5	36682091	PEES
SRR6485325.221359	0	none	H1_	H1_chr5	36794143	none	0	UGM
SRR6485325.115120	-4	-4	undetermined	H1_chr5	36798728	H2_chr5	36701409	PEES
SRR6485325.10994	0	0	undetermined	H1_chr5	36813417	H2_chr5	36716099	PEES
SRR6485325.30093	-5	-5	undetermined	H1_chr5	36853434	H2_chr5	36756117	PEES
SRR6485325.178684	0	none	H1_	H1_chr5	36901749	none	0	UGM
SRR6485325.100597	0	0	undetermined	H1_chr5	36904553	H2_chr5	36807242	PEES
SRR6485325.72713	-5	none	H1_	H1_chr5	36927873	none	0	UGM
SRR6485325.199651	-10	-10	undetermined	H1_chr5	36935692	H2_chr5	36838903	PEES
SRR6485325.210352	-5	-5	undetermined	H1_chr5	36939088	H2_chr5	36842259	PEES
SRR6485325.83665	0	0	undetermined	H1_chr5	36963365	H2_chr5	36866513	PEES
SRR6485325.56526	0	0	undetermined	H1_chr5	36974836	H2_chr5	36877840	PEES
SRR6485325.216281	0	0	undetermined	H1_chr5	36977104	H2_chr5	36880106	PEES
SRR6485325.81646	-1	-1	undetermined	H1_chr5	36977809	H2_chr5	36880811	PEES
SRR6485325.80999	-3	none	H1_	H1_chr5	37013592	none	0	UGM
SRR6485325.96944	0	none	H1_	H1_chr5	37039325	none	0	UGM
SRR6485325.95054	0	none	H1_	H1_chr5	37060869	none	0	UGM
SRR6485325.70281	0	0	undetermined	H1_chr5	37075394	H2_chr5	48923267	PEES
SRR6485325.134674	0	0	undetermined	H1_chr5	37075439	H2_chr5	48923222	PEES
SRR6485325.193393	0	none	H1_	H1_chr5	37087186	none	0	UGM
SRR6485325.167060	0	0	undetermined	H1_chr5	37177006	H2_chr5	37095803	PEES
SRR6485325.99730	0	0	undetermined	H1_chr5	37204538	H2_chr5	55210312	PEES
SRR6485325.96272	0	none	H1_	H1_chr5	37284688	none	0	UGM
SRR6485325.250359	0	none	H1_	H1_chr5	37298696	none	0	UGM
SRR6485325.199263	0	0	undetermined	H1_chr5	37304144	H2_chr5	37223671	PEES
SRR6485325.179923	0	0	undetermined	H1_chr5	37312554	H2_chr5	37232598	PEES
SRR6485325.8208	0	0	undetermined	H1_chr5	37328538	H2_chr5	37248558	PEES
SRR6485325.188104	0	0	undetermined	H1_chr5	37355079	H2_chr5	37275178	PEES
SRR6485325.45277	-10	-10	undetermined	H1_chr5	37360075	H2_chr5	36270863	PEES
SRR6485325.161902	0	0	undetermined	H1_chr5	37373586	H2_chr5	37293671	PEES
SRR6485325.191312	0	none	H1_	H1_chr5	37375638	none	0	UGM
SRR6485325.155926	0	none	H1_	H1_chr5	37375805	none	0	UGM
SRR6485325.106794	-5	-5	undetermined	H1_chr5	37391161	H2_chr5	37309490	PEES
SRR6485325.244079	0	0	undetermined	H1_chr5	37467696	H2_chr5	37386474	PEES
SRR6485325.244231	0	0	undetermined	H1_chr5	37489880	H2_chr5	37408677	PEES
SRR6485325.88354	-18	none	H1_	H1_chr5	37503474	none	0	UGM
SRR6485325.242744	0	none	H1_	H1_chr5	37520573	none	0	UGM
SRR6485325.209810	0	0	undetermined	H1_chr5	37578537	H2_chr5	37493636	PEES
SRR6485325.247621	0	none	H1_	H1_chr5	37599864	none	0	UGM
SRR6485325.92638	0	0	undetermined	H1_chr5	37599993	H2_chr5	24861716	ES
SRR6485325.248932	0	0	undetermined	H1_chr5	37611798	H2_chr5	31749326	PEES
SRR6485325.159449	-5	-5	undetermined	H1_chr5	37612666	H2_chr5	37082915	PEES
SRR6485325.22166	0	0	undetermined	H1_chr5	37632167	H2_chr5	37534670	PEES
SRR6485325.44716	-10	-10	undetermined	H1_chr5	37635816	H2_chr5	37538319	PEES
SRR6485325.73882	0	0	undetermined	H1_chr5	37635827	H2_chr5	37538330	PEES
SRR6485325.58672	-5	-5	undetermined	H1_chr5	37635988	H2_chr5	37538491	PEES
SRR6485325.137242	0	0	undetermined	H1_chr5	37636023	H2_chr5	37538526	PEES
SRR6485325.96383	0	0	undetermined	H1_chr5	37636068	H2_chr5	37538571	PEES
SRR6485325.65801	0	0	undetermined	H1_chr5	37636842	H2_chr5	37539344	PEES
SRR6485325.135643	0	0	undetermined	H1_chr5	37644811	H2_chr5	37547315	PEES
SRR6485325.137572	0	none	H1_	H1_chr5	37645450	none	0	UGM
SRR6485325.91891	0	none	H1_	H1_chr5	37664179	none	0	UGM
SRR6485325.181898	-5	-5	undetermined	H1_chr5	37672895	H2_chr5	37575379	PEES
SRR6485325.216	-15	-15	undetermined	H1_chr5	37706772	H2_chr5	37609257	PEES
SRR6485325.171243	-5	-5	undetermined	H1_chr5	37714230	H2_chr5	37616711	PEES
SRR6485325.249102	-8	none	H1_	H1_chr5	37729384	none	0	UGM
SRR6485325.178939	0	none	H1_	H1_chr5	37790160	none	0	UGM
SRR6485325.195726	0	0	undetermined	H1_chr5	37812473	H2_chr5	37713625	PEES
SRR6485325.40896	0	0	undetermined	H1_chr5	37812689	H2_chr5	37713841	PEES
SRR6485325.3856	0	0	undetermined	H1_chr5	37872041	H2_chr5	37772455	PEES
SRR6485325.137312	-5	-5	undetermined	H1_chr5	37887983	H2_chr5	37788379	PEES
SRR6485325.46715	0	none	H1_	H1_chr5	37898090	none	0	UGM
SRR6485325.81552	0	0	undetermined	H1_chr5	37952973	H2_chr5	37852954	PEES
SRR6485325.196701	0	none	H1_	H1_chr5	37968581	none	0	UGM
SRR6485325.206272	-3	-3	undetermined	H1_chr5	38005646	H2_chr5	37905668	PEES
SRR6485325.9360	0	0	undetermined	H1_chr5	38013884	H2_chr5	37913950	PEES
SRR6485325.144068	0	0	undetermined	H1_chr5	38037652	H2_chr5	37937660	PEES
SRR6485325.180110	0	none	H1_	H1_chr5	38054048	none	0	UGM
SRR6485325.100454	-5	none	H1_	H1_chr5	38060887	none	0	UGM
SRR6485325.107440	0	none	H1_	H1_chr5	38079199	none	0	UGM
SRR6485325.127419	0	none	H1_	H1_chr5	38087069	none	0	UGM
SRR6485325.166722	0	0	undetermined	H1_chr5	38103376	H2_chr5	38011639	PEES
SRR6485325.132144	0	0	undetermined	H1_chr5	38103675	H2_chr5	38011938	PEES
SRR6485325.181223	0	0	undetermined	H1_chr5	38109943	H2_chr5	38018207	PEES
SRR6485325.225766	-10	-10	undetermined	H1_chr5	38125107	H2_chr5	38033335	PEES
SRR6485325.142600	0	none	H1_	H1_chr5	38126320	none	0	UGM
SRR6485325.80430	0	0	undetermined	H1_chr5	38135479	H2_chr5	39578011	PEES
SRR6485325.219181	0	0	undetermined	H1_chr5	38135507	H2_chr5	39577983	PEES
SRR6485325.210995	-5	-5	undetermined	H1_chr5	38174389	H2_chr5	38079156	PEES
SRR6485325.114864	0	0	undetermined	H1_chr5	38190241	H2_chr5	38095000	PEES
SRR6485325.220590	-18	-18	undetermined	H1_chr5	38193249	H2_chr5	38098012	PEES
SRR6485325.122817	0	none	H1_	H1_chr5	38214258	none	0	UGM
SRR6485325.87332	0	none	H1_	H1_chr5	38228385	none	0	UGM
SRR6485325.178840	0	0	undetermined	H1_chr5	38232881	H2_chr5	38138051	PEES
SRR6485325.1410	0	0	undetermined	H1_chr5	38292027	H2_chr5	38196031	PEES
SRR6485325.198852	-5	none	H1_	H1_chr5	38325967	none	0	UGM
SRR6485325.215827	0	0	undetermined	H1_chr5	38329037	H2_chr5	38233099	PEES
SRR6485325.145066	0	0	undetermined	H1_chr5	38345282	H2_chr5	38249212	PEES
SRR6485325.8232	-12	-12	undetermined	H1_chr5	38367680	H2_chr5	41761913	PEES
SRR6485325.51276	0	none	H1_	H1_chr5	38370079	none	0	UGM
SRR6485325.198772	0	none	H1_	H1_chr5	38520573	none	0	UGM
SRR6485325.181423	-8	none	H1_	H1_chr5	38529116	none	0	UGM
SRR6485325.132595	0	0	undetermined	H1_chr5	38540766	H2_chr5	38445985	PEES
SRR6485325.114002	0	none	H1_	H1_chr5	38566206	none	0	UGM
SRR6485325.132834	-9	-9	undetermined	H1_chr5	38581430	H2_chr5	38486192	PEES
SRR6485325.97157	0	0	undetermined	H1_chr5	38612774	H2_chr5	38517509	PEES
SRR6485325.67966	-20	-20	undetermined	H1_chr5	38632359	H2_chr5	38537093	PEES
SRR6485325.245477	-5	none	H1_	H1_chr5	38661246	none	0	UGM
SRR6485325.119255	0	none	H1_	H1_chr5	38665970	none	0	UGM
SRR6485325.133394	-8	-8	undetermined	H1_chr5	38692035	H2_chr5	38596013	PEES
SRR6485325.218965	-5	-5	undetermined	H1_chr5	38735141	H2_chr5	38639129	PEES
SRR6485325.163220	0	0	undetermined	H1_chr5	38735892	H2_chr5	38639880	PEES
SRR6485325.197925	0	0	undetermined	H1_chr5	38762779	H2_chr5	38666743	PEES
SRR6485325.8577	-5	-5	undetermined	H1_chr5	38778176	H2_chr5	32043385	PEES
SRR6485325.53558	0	none	H1_	H1_chr5	38824931	none	0	UGM
SRR6485325.156206	0	0	undetermined	H1_chr5	38838515	H2_chr5	38752037	PEES
SRR6485325.135040	-4	none	H1_	H1_chr5	38846897	none	0	UGM
SRR6485325.107469	0	0	undetermined	H1_chr5	38857661	H2_chr5	38771165	PEES
SRR6485325.157657	0	0	undetermined	H1_chr5	38898958	H2_chr5	38816329	PEES
SRR6485325.48468	0	0	undetermined	H1_chr5	38907458	H2_chr5	38824834	PEES
SRR6485325.37432	0	0	undetermined	H1_chr5	38954323	H2_chr5	38871762	PEES
SRR6485325.164797	0	none	H1_	H1_chr5	39018370	none	0	UGM
SRR6485325.108799	-22	none	H1_	H1_chr5	39028867	none	0	UGM
SRR6485325.135804	0	0	undetermined	H1_chr5	39031922	H2_chr5	38944034	PEES
SRR6485325.21947	0	0	undetermined	H1_chr5	39035102	H2_chr5	38947218	PEES
SRR6485325.203841	0	0	undetermined	H1_chr5	39069800	H2_chr5	38981825	PEES
SRR6485325.74813	0	0	undetermined	H1_chr5	39123038	H2_chr5	53982099	PEES
SRR6485325.105095	-5	none	H1_	H1_chr5	39129087	none	0	UGM
SRR6485325.185212	-5	-5	undetermined	H1_chr5	39153406	H2_chr5	39067619	PEES
SRR6485325.171989	-4	-4	undetermined	H1_chr5	39167124	H2_chr5	39081341	PEES
SRR6485325.161043	0	0	undetermined	H1_chr5	39170525	H2_chr5	39084734	PEES
SRR6485325.174947	0	0	undetermined	H1_chr5	39215763	H2_chr5	39129642	PEES
SRR6485325.40633	0	0	undetermined	H1_chr5	39249687	H2_chr5	39164326	PEES
SRR6485325.28837	-15	none	H1_	H1_chr5	39268280	none	0	UGM
SRR6485325.75793	-3	-3	undetermined	H1_chr5	39287004	H2_chr5	39201524	PEES
SRR6485325.66320	-5	-5	undetermined	H1_chr5	39322017	H2_chr5	39416319	PEES
SRR6485325.103759	0	0	undetermined	H1_chr5	39322274	H2_chr5	29493274	PEES
SRR6485325.172478	0	none	H1_	H1_chr5	39378541	none	0	UGM
SRR6485325.219199	0	none	H1_	H1_chr5	39382961	none	0	UGM
SRR6485325.112475	-2	none	H1_	H1_chr5	39408074	none	0	UGM
SRR6485325.67563	0	0	undetermined	H1_chr5	39408678	H2_chr5	39316708	PEES
SRR6485325.59271	0	0	undetermined	H1_chr5	39412633	H2_chr5	39320660	PEES
SRR6485325.146827	0	0	undetermined	H1_chr5	39418302	H2_chr5	39326329	PEES
SRR6485325.144123	0	0	undetermined	H1_chr5	39422529	H2_chr5	39330558	PEES
SRR6485325.73921	0	0	undetermined	H1_chr5	39445079	H2_chr5	39353104	PEES
SRR6485325.16216	0	0	undetermined	H1_chr5	39461486	H2_chr5	39369193	PEES
SRR6485325.70362	-12	-12	undetermined	H1_chr5	39465969	H2_chr5	39373675	PEES
SRR6485325.206590	0	0	undetermined	H1_chr5	39484177	H2_chr5	39391891	PEES
SRR6485325.200730	0	0	undetermined	H1_chr5	39487121	H2_chr5	39394835	PEES
SRR6485325.70929	-13	-13	undetermined	H1_chr5	39502220	H2_chr5	39409954	PEES
SRR6485325.148549	-3	none	H1_	H1_chr5	39503975	none	0	UGM
SRR6485325.26638	0	0	undetermined	H1_chr5	39504072	H2_chr5	39411806	PEES
SRR6485325.80487	0	0	undetermined	H1_chr5	39508581	H2_chr5	39416316	PEES
SRR6485325.179075	0	0	undetermined	H1_chr5	39520045	H2_chr5	39427782	PEES
SRR6485325.100948	-6	-6	undetermined	H1_chr5	39533448	H2_chr5	39441194	PEES
SRR6485325.208210	0	0	undetermined	H1_chr5	39541051	H2_chr5	39448798	PEES
SRR6485325.26873	-5	-5	undetermined	H1_chr5	39646497	H2_chr5	39552404	PEES
SRR6485325.200736	0	0	undetermined	H1_chr5	39660771	H2_chr5	39566473	PEES
SRR6485325.57264	-3	-3	undetermined	H1_chr5	39669517	H2_chr5	39583616	PEES
SRR6485325.173416	0	0	undetermined	H1_chr5	39672737	H2_chr5	38799078	PEES
SRR6485325.113804	0	0	undetermined	H1_chr5	39673017	H2_chr5	39587117	PEES
SRR6485325.101986	0	0	undetermined	H1_chr5	39684896	H2_chr5	39598996	PEES
SRR6485325.122125	0	0	undetermined	H1_chr5	39684983	H2_chr5	39599083	PEES
SRR6485325.213120	0	0	undetermined	H1_chr5	39715670	H2_chr5	39629793	PEES
SRR6485325.142594	-5	-5	undetermined	H1_chr5	39749106	H2_chr5	39663247	PEES
SRR6485325.5858	-8	-8	undetermined	H1_chr5	39758882	H2_chr5	39673027	PEES
SRR6485325.72520	-21	-21	undetermined	H1_chr5	39761301	H2_chr5	39675446	PEES
SRR6485325.167770	-5	none	H1_	H1_chr5	39765886	none	0	UGM
SRR6485325.101009	-5	none	H1_	H1_chr5	39767185	none	0	UGM
SRR6485325.67253	-5	-5	undetermined	H1_chr5	39776655	H2_chr5	39690786	PEES
SRR6485325.20325	0	0	undetermined	H1_chr5	39785441	H2_chr5	39699572	PEES
SRR6485325.236996	0	0	undetermined	H1_chr5	39820270	H2_chr5	39734754	PEES
SRR6485325.56840	0	0	undetermined	H1_chr5	39820629	H2_chr5	39735113	PEES
SRR6485325.24364	0	none	H1_	H1_chr5	39828423	none	0	UGM
SRR6485325.127168	0	none	H1_	H1_chr5	39830170	none	0	UGM
SRR6485325.118563	0	0	undetermined	H1_chr5	39840353	H2_chr5	39754337	PEES
SRR6485325.34764	0	0	undetermined	H1_chr5	39883793	H2_chr5	39797769	PEES
SRR6485325.158382	0	0	undetermined	H1_chr5	39896044	H2_chr5	39810024	PEES
SRR6485325.121459	0	0	undetermined	H1_chr5	39929296	H2_chr5	39843304	PEES
SRR6485325.46409	-10	-10	undetermined	H1_chr5	39962709	H2_chr5	39876370	PEES
SRR6485325.121492	-3	-3	undetermined	H1_chr5	39971151	H2_chr5	39884825	PEES
SRR6485325.248068	0	0	undetermined	H1_chr5	39975929	H2_chr5	39895251	PEES
SRR6485325.81004	0	0	undetermined	H1_chr5	39990461	H2_chr5	39909755	PEES
SRR6485325.242531	-10	-10	undetermined	H1_chr5	39996620	H2_chr5	51639317	PEES
SRR6485325.9049	0	0	undetermined	H1_chr5	40031905	H2_chr5	39944366	PEES
SRR6485325.17714	0	0	undetermined	H1_chr5	40040737	H2_chr5	39954341	PEES
SRR6485325.215191	0	0	undetermined	H1_chr5	40074592	H2_chr5	39988249	PEES
SRR6485325.205399	0	0	undetermined	H1_chr5	40076452	H2_chr5	70387695	PEES
SRR6485325.136291	0	none	H1_	H1_chr5	40087778	none	0	UGM
SRR6485325.71083	0	0	undetermined	H1_chr5	40112504	H2_chr5	40025065	PEES
SRR6485325.83104	-8	-8	undetermined	H1_chr5	40116148	H2_chr5	40028713	PEES
SRR6485325.233472	0	0	undetermined	H1_chr5	40128931	H2_chr5	40041865	PEES
SRR6485325.247041	-16	none	H1_	H1_chr5	40156230	none	0	UGM
SRR6485325.175164	0	0	undetermined	H1_chr5	40158559	H2_chr5	40071509	PEES
SRR6485325.190690	0	none	H1_	H1_chr5	40172019	none	0	UGM
SRR6485325.219551	0	0	undetermined	H1_chr5	40192187	H2_chr5	40106089	PEES
SRR6485325.165012	0	0	undetermined	H1_chr5	40210939	H2_chr5	40126589	PEES
SRR6485325.141646	0	0	undetermined	H1_chr5	40294496	H2_chr5	40206266	PEES
SRR6485325.11237	0	none	H1_	H1_chr5	40302572	none	0	UGM
SRR6485325.85108	-10	-10	undetermined	H1_chr5	40333705	H2_chr5	40245095	PEES
SRR6485325.163112	0	0	undetermined	H1_chr5	40350269	H2_chr5	40261658	PEES
SRR6485325.145832	0	0	undetermined	H1_chr5	40366937	H2_chr5	40278317	PEES
SRR6485325.84576	-5	-5	undetermined	H1_chr5	40399672	H2_chr5	40311070	PEES
SRR6485325.241618	-5	-5	undetermined	H1_chr5	40421393	H2_chr5	40332810	PEES
SRR6485325.182752	-10	-10	undetermined	H1_chr5	40422987	H2_chr5	40334406	ES
SRR6485325.228480	0	0	undetermined	H1_chr5	40434174	H2_chr5	40345597	PEES
SRR6485325.26176	0	0	undetermined	H1_chr5	40495345	H2_chr5	40406249	PEES
SRR6485325.192488	0	none	H1_	H1_chr5	40504394	none	0	UGM
SRR6485325.5457	0	0	undetermined	H1_chr5	40518399	H2_chr5	40428929	PEES
SRR6485325.102323	0	0	undetermined	H1_chr5	40569142	H2_chr5	40482063	PEES
SRR6485325.137872	-5	none	H1_	H1_chr5	40572559	none	0	UGM
SRR6485325.4424	-5	-5	undetermined	H1_chr5	40640410	H2_chr5	40550459	PEES
SRR6485325.173197	0	0	undetermined	H1_chr5	40660268	H2_chr5	36121414	PEES
SRR6485325.116917	0	0	undetermined	H1_chr5	40660566	H2_chr5	40570653	PEES
SRR6485325.21978	-5	-5	undetermined	H1_chr5	40663322	H2_chr5	36124472	PEES
SRR6485325.86998	-3	-3	undetermined	H1_chr5	40663448	H2_chr5	36124598	PEES
SRR6485325.52567	-5	-5	undetermined	H1_chr5	40663717	H2_chr5	36124867	PEES
SRR6485325.209018	0	0	undetermined	H1_chr5	40663785	H2_chr5	38272102	PEES
SRR6485325.51423	-15	none	H1_	H1_chr5	40710051	none	0	UGM
SRR6485325.130064	0	none	H1_	H1_chr5	40729858	none	0	UGM
SRR6485325.41999	0	none	H1_	H1_chr5	40734498	none	0	UGM
SRR6485325.112942	0	0	undetermined	H1_chr5	40738173	H2_chr5	40646518	PEES
SRR6485325.57307	0	0	undetermined	H1_chr5	40740015	H2_chr5	40648360	PEES
SRR6485325.35944	0	0	undetermined	H1_chr5	40742465	H2_chr5	40650816	PEES
SRR6485325.171709	0	0	undetermined	H1_chr5	40795656	H2_chr5	40703994	PEES
SRR6485325.232117	0	0	undetermined	H1_chr5	40806857	H2_chr5	40715190	PEES
SRR6485325.154712	-5	-5	undetermined	H1_chr5	40816655	H2_chr5	40724994	PEES
SRR6485325.234972	0	0	undetermined	H1_chr5	40890483	H2_chr5	48924471	PEES
SRR6485325.228583	0	0	undetermined	H1_chr5	40890580	H2_chr5	5716980	PEES
SRR6485325.117072	-10	-10	undetermined	H1_chr5	40903748	H2_chr5	40812090	PEES
SRR6485325.48763	0	0	undetermined	H1_chr5	40908695	H2_chr5	40817039	PEES
SRR6485325.18997	0	0	undetermined	H1_chr5	40914561	H2_chr5	40822905	PEES
SRR6485325.153631	-5	-5	undetermined	H1_chr5	40928401	H2_chr5	40836733	PEES
